step,loss,lr,tokens_per_sec,elapsed_sec,token_accuracy,gpu_mem_gb,grad_norm
step,loss,lr,tokens_per_sec,elapsed_sec,token_accuracy,gpu_mem_gb,grad_norm
33200,0.102581,3.00e-04,1686,84384.7,0.9823,13.66,0.3407
33300,0.094282,3.00e-04,1687,84637.5,0.9835,13.66,0.3108
33400,0.092485,3.00e-04,1687,84890.3,0.9837,13.66,0.3218
33500,0.104505,3.00e-04,1688,85143.5,0.9822,13.66,0.3746
33600,0.096675,3.00e-04,1688,85398.0,0.9830,13.66,0.3169
33700,0.097993,3.00e-04,1689,85650.3,0.9829,13.66,0.3395
33800,0.102440,3.00e-04,1689,85902.8,0.9821,13.66,0.3662
33900,0.098795,3.00e-04,1689,86155.4,0.9828,13.66,0.3214
34100,0.100770,3.00e-04,1690,86660.9,0.9824,13.66,0.3218
34200,0.098792,3.00e-04,1691,86913.6,0.9830,13.66,0.3180
34300,0.095739,3.00e-04,1691,87166.1,0.9833,13.66,0.3326
34400,0.109327,3.00e-04,1692,87419.3,0.9809,13.66,0.3467
34500,0.130337,3.00e-04,1692,87671.9,0.9780,13.66,0.3641
34600,0.119617,3.00e-04,1692,87924.3,0.9791,13.66,0.3517
34700,0.118290,3.00e-04,1693,88177.2,0.9797,13.66,0.3480
34800,0.138664,3.00e-04,1693,88432.7,0.9771,13.66,0.3826
34900,0.128830,3.00e-04,1694,88687.3,0.9785,13.66,0.4253
35000,0.126401,3.00e-04,1694,88941.6,0.9789,13.66,0.3778
35100,0.128886,3.00e-04,1694,89201.5,0.9782,13.66,0.3513
35200,0.121518,3.00e-04,1695,89456.3,0.9793,13.66,0.3645
35300,0.117794,3.00e-04,1695,89710.5,0.9797,13.66,0.4612
35400,0.126328,3.00e-04,1696,89967.4,0.9788,13.66,0.3532
35500,0.114215,3.00e-04,1697,90224.9,0.9804,13.66,0.3285
35600,0.107142,3.00e-04,1697,90479.8,0.9812,13.66,0.3441
35700,0.134674,3.00e-04,1698,90738.1,0.9767,13.66,0.3571
35800,0.125867,3.00e-04,1699,90994.7,0.9779,13.66,0.3356
35900,0.114170,3.00e-04,1700,91257.7,0.9796,13.66,0.3212
36000,0.123129,3.00e-04,1701,91522.3,0.9786,13.66,0.3374
36100,0.123889,3.00e-04,1701,91787.3,0.9787,13.66,0.3692
36200,0.114948,3.00e-04,1702,92051.5,0.9799,13.66,0.3324
36300,0.117679,3.00e-04,1702,92319.4,0.9794,13.66,0.3276
36400,0.113739,3.00e-04,1703,92586.0,0.9800,13.66,0.3278
36500,0.112029,3.00e-04,1703,92851.6,0.9806,13.66,0.3515
36600,0.109285,3.00e-04,1704,93117.0,0.9802,13.66,0.3377
36700,0.104146,3.00e-04,1704,93382.3,0.9812,13.66,0.3379
36800,0.102017,3.00e-04,1704,93648.6,0.9817,13.66,0.3309
36900,0.110728,3.00e-04,1704,93914.5,0.9804,13.66,0.3444
37000,0.115025,3.00e-04,1704,94180.4,0.9797,13.66,0.3570
37100,0.110525,3.00e-04,1704,94447.1,0.9806,13.66,0.3524
37200,0.110424,3.00e-04,1704,94711.9,0.9805,13.66,0.3522
37300,0.117349,3.00e-04,1705,94976.1,0.9801,13.66,0.3280
37400,0.112317,3.00e-04,1705,95239.9,0.9804,13.66,0.3256
