step,loss,lr,tokens_per_sec,elapsed_sec
32100,3.113617,1.00e-04,23771,5943.9
32200,3.133007,1.00e-04,23778,5962.4
32300,3.152349,1.00e-04,23785,5980.8
32400,3.083534,1.00e-04,23793,5999.3
32500,3.095775,1.00e-04,23799,6017.8
32600,3.167830,1.00e-04,23804,6036.3
32700,3.128279,1.00e-04,23810,6054.8
32800,3.094099,1.00e-04,23815,6073.2
32900,3.144759,1.00e-04,23821,6091.7
33000,3.084749,1.00e-04,23826,6110.2
33100,3.057324,1.00e-04,23831,6128.7
33200,3.079471,1.00e-04,23838,6147.1
33300,3.082419,1.00e-04,23844,6165.6
33400,3.047678,1.00e-04,23850,6184.1
33500,3.080404,1.00e-04,23856,6202.6
33600,3.077188,1.00e-04,23863,6221.1
33700,3.029338,1.00e-04,23870,6239.5
33800,3.053998,1.00e-04,23876,6258.0
33900,3.087685,1.00e-04,23880,6276.5
34000,3.077501,1.00e-04,23886,6294.9
34100,3.043439,1.00e-04,23891,6313.4
34200,3.023076,1.00e-04,23896,6331.9
34300,3.007828,1.00e-04,23902,6350.4
34400,3.163904,1.00e-04,23908,6368.8
34500,3.385230,1.00e-04,23914,6387.3
34600,3.321473,1.00e-04,23920,6405.8
34700,3.319244,1.00e-04,23926,6424.3
34800,3.432974,1.00e-04,23931,6442.7
34900,3.368000,1.00e-04,23937,6461.2
35000,3.344641,1.00e-04,23942,6479.7
35100,3.377546,1.00e-04,23949,6498.2
35200,3.318469,1.00e-04,23956,6516.7
35300,3.260696,1.00e-04,23962,6535.1
35400,3.337378,1.00e-04,23972,6553.6
35500,3.293830,1.00e-04,23982,6572.1
35600,3.267934,1.00e-04,23991,6590.6
35700,3.419909,1.00e-04,24006,6609.0
35800,3.334970,1.00e-04,24022,6627.5
35900,3.342535,1.00e-04,24039,6646.0
36000,3.349866,1.00e-04,24051,6664.5
36100,3.319553,1.00e-04,24059,6683.0
36200,3.285620,1.00e-04,24068,6701.4
36300,3.307551,1.00e-04,24077,6719.9
36400,3.272538,1.00e-04,24086,6738.4
36500,3.191573,1.00e-04,24096,6756.9
36600,3.211271,1.00e-04,24103,6775.3
36700,3.178800,1.00e-04,24108,6793.8
36800,3.141560,1.00e-04,24112,6812.3
36900,3.189824,1.00e-04,24116,6830.8
37000,3.272311,1.00e-04,24119,6849.2
37100,3.211719,1.00e-04,24123,6867.7
37200,3.205922,1.00e-04,24127,6886.2
37300,3.262007,1.00e-04,24135,6904.7
37400,3.238111,1.00e-04,24143,6923.1
37500,3.188746,1.00e-04,24149,6941.6
37600,3.452944,1.00e-04,24144,6960.1
37700,3.372346,1.00e-04,24140,6978.6
37800,3.324822,1.00e-04,24136,6997.0
37900,3.518567,1.00e-04,24134,7015.5
38000,3.467803,1.00e-04,24132,7034.0
38100,3.401211,1.00e-04,24131,7052.5
38200,3.513264,1.00e-04,24127,7070.9
38300,3.468679,1.00e-04,24123,7089.4
38400,3.422831,1.00e-04,24118,7107.9
38500,3.530098,1.00e-04,24121,7126.3
38600,3.470979,1.00e-04,24127,7144.8
38700,3.423414,1.00e-04,24132,7163.3
38800,3.492583,1.00e-04,24134,7181.8
38900,3.535824,1.00e-04,24135,7200.2
39000,3.433492,1.00e-04,24136,7218.7
39100,3.417313,1.00e-04,24134,7237.2
39200,3.357264,1.00e-04,24130,7255.7
39300,3.280574,1.00e-04,24126,7274.1
39400,3.357649,1.00e-04,24121,7292.6
39500,3.379205,1.00e-04,24118,7311.1
39600,3.325030,1.00e-04,24114,7329.6
39700,3.354115,1.00e-04,24111,7348.1
39800,3.577257,1.00e-04,24111,7366.5
39900,3.498435,1.00e-04,24110,7385.0
40000,3.427070,1.00e-04,24110,7403.5
40100,3.383972,1.00e-04,24099,7422.3
40200,3.348621,1.00e-04,24091,7440.8
40300,3.248225,1.00e-04,24082,7459.3
40400,3.358039,1.00e-04,24081,7477.8
40500,3.317424,1.00e-04,24082,7496.2
40600,3.290364,1.00e-04,24083,7514.7
40700,3.382402,1.00e-04,24078,7533.2
40800,3.286291,1.00e-04,24074,7551.6
40900,3.210263,1.00e-04,24069,7570.1
41000,3.351809,1.00e-04,24065,7588.6
41100,3.403515,1.00e-04,24061,7607.1
41200,3.342129,1.00e-04,24058,7625.6
41300,3.368734,1.00e-04,24055,7644.0
41400,3.374269,1.00e-04,24053,7662.5
41500,3.361141,1.00e-04,24050,7681.0
41600,3.347779,1.00e-04,24047,7699.4
41700,3.315799,1.00e-04,24041,7717.9
41800,3.271438,1.00e-04,24035,7736.4
41900,3.307860,1.00e-04,24031,7754.9
42000,3.356967,1.00e-04,24027,7773.3
42100,3.276137,1.00e-04,24024,7791.8
42200,3.300038,1.00e-04,24020,7810.3
42300,3.335943,1.00e-04,24018,7828.8
42400,3.273362,1.00e-04,24015,7847.2
42500,3.271688,1.00e-04,24013,7865.7
42600,3.365545,1.00e-04,24016,7884.2
42700,3.267070,1.00e-04,24019,7902.6
42800,3.219974,1.00e-04,24022,7921.1
42900,3.224234,1.00e-04,24023,7939.6
43000,3.184574,1.00e-04,24024,7958.1
43100,3.168511,1.00e-04,24025,7976.5
43200,3.252429,1.00e-04,24021,7995.0
43300,3.230813,1.00e-04,24017,8013.5
43400,3.191303,1.00e-04,24011,8031.9
43500,3.335199,1.00e-04,24009,8050.4
43600,3.289241,1.00e-04,24007,8068.9
43700,3.248750,1.00e-04,24005,8087.4
43800,3.269683,1.00e-04,24003,8105.9
43900,3.172830,1.00e-04,24001,8124.3
44000,3.095656,1.00e-04,23999,8142.8
44100,3.138831,1.00e-04,23999,8161.3
44200,3.105350,1.00e-04,24001,8179.8
44300,3.038162,1.00e-04,24004,8198.2
44400,3.046483,1.00e-04,24006,8216.7
44500,3.087997,1.00e-04,24010,8235.2
44600,3.024390,1.00e-04,24013,8253.6
44700,3.079911,1.00e-04,24016,8272.1
44800,3.283525,1.00e-04,24018,8290.6
44900,3.199714,1.00e-04,24019,8309.1
45000,3.183463,1.00e-04,24021,8327.6
45100,3.051235,1.00e-04,24026,8346.1
45200,2.975161,1.00e-04,24031,8364.6
45300,2.917789,1.00e-04,24035,8383.0
45400,3.021139,1.00e-04,24035,8401.5
45500,2.943324,1.00e-04,24035,8420.0
45600,2.928756,1.00e-04,24034,8438.5
45700,3.007904,1.00e-04,24034,8456.9
45800,2.942346,1.00e-04,24034,8475.4
45900,2.935672,1.00e-04,24034,8493.9
46000,3.131693,1.00e-04,24035,8512.4
46100,3.146511,1.00e-04,24037,8530.9
46200,3.084765,1.00e-04,24040,8549.3
46300,3.096947,1.00e-04,24041,8567.8
46400,3.052304,1.00e-04,24042,8586.3
46500,2.944174,1.00e-04,24044,8604.8
46600,2.996635,1.00e-04,24043,8623.3
46700,3.040564,1.00e-04,24042,8641.7
46800,2.994491,1.00e-04,24041,8660.2
46900,3.115549,1.00e-04,24040,8678.7
47000,3.347582,1.00e-04,24038,8697.2
47100,3.274189,1.00e-04,24035,8715.6
47200,3.213294,1.00e-04,24033,8734.1
47300,3.208096,1.00e-04,24030,8752.6
47400,3.142765,1.00e-04,24028,8771.1
47500,3.129896,1.00e-04,24025,8789.6
47600,3.394416,1.00e-04,24023,8808.1
47700,3.349183,1.00e-04,24020,8826.5
47800,3.283889,1.00e-04,24018,8845.0
47900,3.407842,1.00e-04,24017,8863.5
48000,3.326640,1.00e-04,24017,8882.0
48100,3.314996,1.00e-04,24017,8900.4
48200,3.374477,1.00e-04,24017,8918.9
48300,3.355081,1.00e-04,24018,8937.4
48400,3.290983,1.00e-04,24018,8955.8
48500,3.358497,1.00e-04,24022,8974.2
48600,3.311613,1.00e-04,24027,8992.6
48700,3.248202,1.00e-04,24032,9011.1
48800,3.327273,1.00e-04,24031,9029.5
48900,3.345439,1.00e-04,24029,9047.9
49000,3.263752,1.00e-04,24025,9066.4
49100,3.318850,1.00e-04,24023,9084.8
49200,3.308427,1.00e-04,24020,9103.2
49300,3.241140,1.00e-04,24018,9121.7
49400,3.233035,1.00e-04,24015,9140.1
49500,3.315554,1.00e-04,24012,9158.5
49600,3.251302,1.00e-04,24009,9176.9
49700,3.263088,1.00e-04,24006,9195.4
49800,3.291573,1.00e-04,24004,9213.8
49900,3.213133,1.00e-04,24002,9232.2
50000,3.240088,1.00e-04,24000,9250.7
50100,3.379497,1.00e-04,24000,9269.5
50200,3.312329,1.00e-04,24002,9287.9
50300,3.231191,1.00e-04,24003,9306.3
50400,3.339149,1.00e-04,24001,9324.8
50500,3.239005,1.00e-04,24000,9343.2
50600,3.227477,1.00e-04,23998,9361.6
50700,3.267535,1.00e-04,24005,9380.0
50800,3.184834,1.00e-04,24012,9398.5
50900,3.170903,1.00e-04,24019,9416.9
51000,3.216782,1.00e-04,24019,9435.3
51100,3.206699,1.00e-04,24017,9453.8
51200,3.153596,1.00e-04,24014,9472.2
51300,3.249930,1.00e-04,24012,9490.6
51400,3.277070,1.00e-04,24009,9509.0
51500,3.198203,1.00e-04,24006,9527.5
51600,3.253466,1.00e-04,24003,9545.9
51700,3.243022,1.00e-04,24001,9564.3
51800,3.187213,1.00e-04,23999,9582.7
51900,3.203174,1.00e-04,23998,9601.2
52000,3.260759,1.00e-04,23997,9619.6
52100,3.196115,1.00e-04,23997,9638.0
